ID,Season,team,off_rank,prev_off_rank,prev_off_3yr_rank,def_rank,prev_def_rank,prev_def_3yr_rank
0,2010,ARI,31.0,14.0,9.0,29.0,20.0,20.0
1,2010,ATL,15.0,16.0,15.0,16.0,21.0,26.0
2,2010,BAL,22.0,13.0,16.0,10.0,3.0,2.0
3,2010,BUF,25.0,30.0,30.0,24.0,19.0,24.0
4,2010,CAR,32.0,19.0,20.0,18.0,8.0,14.0
5,2010,CHI,30.0,23.0,25.0,9.0,17.0,23.0
6,2010,CIN,20.0,24.0,24.0,15.0,4.0,15.0
7,2010,CLE,29.0,32.0,29.0,22.0,31.0,31.0
8,2010,DAL,7.0,2.0,3.0,23.0,9.0,7.0
9,2010,DEN,13.0,15.0,6.0,32.0,7.0,22.0
10,2010,DET,17.0,26.0,26.0,21.0,32.0,32.0
11,2010,GB,9.0,6.0,4.0,5.0,2.0,10.0
12,2010,HOU,3.0,4.0,5.0,30.0,13.0,19.0
13,2010,IND,4.0,9.0,8.0,20.0,18.0,9.0
14,2010,JAX,16.0,18.0,13.0,28.0,23.0,16.0
15,2010,KC,12.0,25.0,27.0,14.0,30.0,30.0
16,2010,LA,26.0,29.0,28.0,19.0,29.0,29.0
17,2010,LAC,1.0,10.0,12.0,1.0,16.0,17.0
18,2010,LV,10.0,31.0,32.0,11.0,26.0,28.0
19,2010,MIA,21.0,17.0,18.0,6.0,22.0,21.0
20,2010,MIN,23.0,5.0,11.0,8.0,6.0,11.0
21,2010,NE,8.0,3.0,2.0,25.0,11.0,6.0
22,2010,NO,6.0,1.0,1.0,4.0,25.0,25.0
23,2010,NYG,5.0,8.0,10.0,7.0,14.0,8.0
24,2010,NYJ,11.0,20.0,22.0,3.0,1.0,4.0
25,2010,PHI,2.0,11.0,7.0,12.0,12.0,3.0
26,2010,PIT,14.0,7.0,14.0,2.0,5.0,1.0
27,2010,SEA,28.0,21.0,23.0,27.0,24.0,27.0
28,2010,SF,24.0,27.0,31.0,13.0,15.0,18.0
29,2010,TB,19.0,28.0,21.0,17.0,27.0,12.0
30,2010,TEN,27.0,12.0,17.0,26.0,28.0,13.0
31,2010,WAS,18.0,22.0,19.0,31.0,10.0,5.0
32,2011,ARI,19.0,31.0,18.0,18.0,29.0,25.0
33,2011,ATL,10.0,15.0,11.0,12.0,16.0,22.0
34,2011,BAL,15.0,22.0,16.0,3.0,10.0,3.0
35,2011,BUF,14.0,25.0,30.0,26.0,24.0,21.0
36,2011,CAR,7.0,32.0,23.0,28.0,18.0,12.0
37,2011,CHI,24.0,30.0,26.0,17.0,9.0,13.0
38,2011,CIN,20.0,20.0,29.0,7.0,15.0,9.0
39,2011,CLE,29.0,29.0,32.0,10.0,22.0,29.0
40,2011,DAL,11.0,7.0,4.0,14.0,23.0,10.0
41,2011,DEN,23.0,13.0,9.0,20.0,32.0,27.0
42,2011,DET,5.0,17.0,25.0,23.0,21.0,32.0
43,2011,GB,3.0,9.0,8.0,32.0,5.0,6.0
44,2011,HOU,13.0,3.0,2.0,2.0,30.0,23.0
45,2011,IND,30.0,4.0,10.0,25.0,20.0,15.0
46,2011,JAX,32.0,16.0,17.0,6.0,28.0,26.0
47,2011,KC,27.0,12.0,22.0,11.0,14.0,31.0
48,2011,LA,31.0,26.0,31.0,22.0,19.0,28.0
49,2011,LAC,6.0,1.0,5.0,16.0,1.0,8.0
50,2011,LV,9.0,10.0,27.0,29.0,11.0,24.0
51,2011,MIA,22.0,21.0,14.0,15.0,6.0,14.0
52,2011,MIN,18.0,23.0,13.0,21.0,8.0,4.0
53,2011,NE,2.0,8.0,3.0,31.0,25.0,16.0
54,2011,NO,1.0,6.0,1.0,24.0,4.0,18.0
55,2011,NYG,8.0,5.0,6.0,27.0,7.0,7.0
56,2011,NYJ,25.0,11.0,15.0,5.0,3.0,2.0
57,2011,PHI,4.0,2.0,7.0,8.0,12.0,5.0
58,2011,PIT,12.0,14.0,12.0,1.0,2.0,1.0
59,2011,SEA,28.0,28.0,28.0,9.0,27.0,30.0
60,2011,SF,26.0,24.0,24.0,4.0,13.0,11.0
61,2011,TB,21.0,19.0,21.0,30.0,17.0,19.0
62,2011,TEN,17.0,27.0,20.0,18.0,26.0,20.0
63,2011,WAS,16.0,18.0,19.0,13.0,31.0,17.0
64,2012,ARI,32.0,19.0,25.0,12.0,18.0,28.0
65,2012,ATL,8.0,10.0,10.0,24.0,12.0,15.0
66,2012,BAL,16.0,15.0,14.0,17.0,3.0,3.0
67,2012,BUF,19.0,14.0,27.0,22.0,26.0,27.0
68,2012,CAR,12.0,7.0,20.0,10.0,28.0,16.0
69,2012,CHI,28.0,24.0,30.0,5.0,17.0,10.0
70,2012,CIN,22.0,20.0,23.0,6.0,7.0,5.0
71,2012,CLE,25.0,29.0,32.0,23.0,10.0,25.0
72,2012,DAL,6.0,11.0,7.0,19.0,14.0,13.0
73,2012,DEN,4.0,23.0,15.0,2.0,20.0,23.0
74,2012,DET,3.0,5.0,11.0,13.0,23.0,32.0
75,2012,GB,13.0,3.0,5.0,11.0,32.0,12.0
76,2012,HOU,7.0,13.0,6.0,7.0,2.0,9.0
77,2012,IND,10.0,30.0,12.0,26.0,25.0,20.0
78,2012,JAX,29.0,32.0,26.0,30.0,6.0,18.0
79,2012,KC,24.0,27.0,22.0,20.0,11.0,20.0
80,2012,LA,23.0,31.0,31.0,14.0,22.0,24.0
81,2012,LAC,31.0,6.0,3.0,9.0,16.0,4.0
82,2012,LV,18.0,9.0,16.0,18.0,29.0,26.0
83,2012,MIA,27.0,22.0,21.0,21.0,15.0,11.0
84,2012,MIN,20.0,18.0,13.0,16.0,21.0,8.0
85,2012,NE,1.0,2.0,2.0,25.0,31.0,31.0
86,2012,NO,2.0,1.0,1.0,32.0,24.0,17.0
87,2012,NYG,14.0,8.0,8.0,31.0,27.0,14.0
88,2012,NYJ,30.0,25.0,19.0,8.0,5.0,2.0
89,2012,PHI,15.0,4.0,4.0,15.0,8.0,7.0
90,2012,PIT,21.0,12.0,9.0,1.0,1.0,1.0
91,2012,SEA,17.0,28.0,28.0,4.0,9.0,22.0
92,2012,SF,11.0,26.0,29.0,3.0,4.0,6.0
93,2012,TB,9.0,21.0,24.0,29.0,30.0,30.0
94,2012,TEN,26.0,17.0,17.0,27.0,18.0,29.0
95,2012,WAS,5.0,16.0,18.0,28.0,13.0,19.0
96,2013,ARI,12.0,32.0,32.0,6.0,12.0,24.0
97,2013,ATL,14.0,8.0,9.0,27.0,24.0,14.0
98,2013,BAL,28.0,16.0,17.0,12.0,17.0,5.0
99,2013,BUF,19.0,19.0,19.0,10.0,22.0,27.0
100,2013,CAR,26.0,12.0,18.0,2.0,10.0,18.0
101,2013,CHI,8.0,28.0,29.0,30.0,5.0,7.0
102,2013,CIN,10.0,22.0,21.0,3.0,6.0,6.0
103,2013,CLE,17.0,25.0,31.0,9.0,23.0,17.0
104,2013,DAL,16.0,6.0,8.0,32.0,19.0,19.0
105,2013,DEN,1.0,4.0,12.0,19.0,2.0,16.0
106,2013,DET,6.0,3.0,3.0,16.0,13.0,20.0
107,2013,GB,3.0,13.0,6.0,25.0,11.0,21.0
108,2013,HOU,11.0,7.0,5.0,6.0,7.0,8.0
109,2013,IND,15.0,10.0,15.0,20.0,26.0,26.0
110,2013,JAX,31.0,29.0,30.0,27.0,30.0,23.0
111,2013,KC,21.0,24.0,23.0,24.0,20.0,12.0
112,2013,LA,30.0,23.0,28.0,15.0,14.0,15.0
113,2013,LAC,5.0,31.0,10.0,23.0,9.0,4.0
114,2013,LV,23.0,18.0,11.0,22.0,18.0,22.0
115,2013,MIA,27.0,27.0,26.0,21.0,21.0,11.0
116,2013,MIN,13.0,20.0,22.0,31.0,16.0,13.0
117,2013,NE,7.0,1.0,2.0,26.0,25.0,32.0
118,2013,NO,4.0,2.0,1.0,4.0,32.0,31.0
119,2013,NYG,29.0,14.0,7.0,8.0,31.0,25.0
120,2013,NYJ,25.0,30.0,24.0,11.0,8.0,2.0
121,2013,PHI,2.0,15.0,4.0,29.0,15.0,9.0
122,2013,PIT,20.0,21.0,14.0,13.0,1.0,1.0
123,2013,SEA,18.0,17.0,25.0,1.0,4.0,10.0
124,2013,SF,24.0,11.0,20.0,5.0,3.0,3.0
125,2013,TB,32.0,9.0,16.0,17.0,29.0,29.0
126,2013,TEN,22.0,26.0,27.0,14.0,27.0,28.0
127,2013,WAS,9.0,5.0,13.0,18.0,28.0,30.0
128,2014,ARI,24.0,12.0,29.0,24.0,6.0,9.0
129,2014,ATL,8.0,14.0,10.0,32.0,27.0,23.0
130,2014,BAL,12.0,28.0,20.0,8.0,12.0,7.0
131,2014,BUF,25.0,19.0,16.0,4.0,10.0,19.0
132,2014,CAR,16.0,26.0,12.0,10.0,2.0,10.0
133,2014,CHI,20.0,8.0,19.0,30.0,30.0,16.0
134,2014,CIN,15.0,10.0,17.0,22.0,3.0,5.0
135,2014,CLE,23.0,17.0,27.0,23.0,9.0,11.0
136,2014,DAL,7.0,16.0,7.0,19.0,32.0,29.0
137,2014,DEN,4.0,1.0,4.0,3.0,19.0,8.0
138,2014,DET,19.0,6.0,3.0,2.0,16.0,14.0
139,2014,GB,6.0,3.0,6.0,15.0,25.0,30.0
140,2014,HOU,17.0,11.0,8.0,16.0,6.0,4.0
141,2014,IND,3.0,15.0,23.0,11.0,20.0,25.0
142,2014,JAX,31.0,31.0,32.0,26.0,27.0,22.0
143,2014,KC,25.0,21.0,25.0,7.0,24.0,15.0
144,2014,LA,28.0,30.0,31.0,17.0,15.0,13.0
145,2014,LAC,18.0,5.0,11.0,9.0,23.0,12.0
146,2014,LV,32.0,23.0,13.0,21.0,22.0,26.0
147,2014,MIA,14.0,27.0,28.0,12.0,21.0,17.0
148,2014,MIN,27.0,13.0,18.0,14.0,31.0,27.0
149,2014,NE,11.0,7.0,2.0,13.0,26.0,32.0
150,2014,NO,2.0,4.0,1.0,31.0,4.0,28.0
151,2014,NYG,10.0,29.0,14.0,29.0,8.0,24.0
152,2014,NYJ,22.0,25.0,30.0,6.0,11.0,6.0
153,2014,PHI,5.0,2.0,5.0,28.0,29.0,18.0
154,2014,PIT,1.0,20.0,15.0,18.0,13.0,1.0
155,2014,SEA,9.0,18.0,22.0,1.0,1.0,2.0
156,2014,SF,21.0,24.0,21.0,5.0,5.0,3.0
157,2014,TB,30.0,32.0,26.0,25.0,17.0,31.0
158,2014,TEN,29.0,22.0,24.0,27.0,14.0,20.0
159,2014,WAS,13.0,9.0,9.0,20.0,18.0,21.0
160,2015,ARI,1.0,24.0,31.0,5.0,24.0,12.0
161,2015,ATL,7.0,8.0,10.0,16.0,32.0,32.0
162,2015,BAL,14.0,12.0,17.0,8.0,8.0,11.0
163,2015,BUF,13.0,25.0,21.0,19.0,4.0,10.0
164,2015,CAR,11.0,16.0,18.0,6.0,10.0,5.0
165,2015,CHI,21.0,20.0,19.0,14.0,30.0,22.0
166,2015,CIN,15.0,15.0,14.0,11.0,22.0,6.0
167,2015,CLE,25.0,23.0,23.0,27.0,23.0,18.0
168,2015,DAL,22.0,7.0,9.0,17.0,19.0,29.0
169,2015,DEN,16.0,4.0,1.0,1.0,3.0,3.0
170,2015,DET,20.0,19.0,6.0,18.0,2.0,9.0
171,2015,GB,23.0,6.0,5.0,15.0,15.0,16.0
172,2015,HOU,19.0,17.0,13.0,3.0,16.0,8.0
173,2015,IND,28.0,3.0,8.0,26.0,11.0,19.0
174,2015,JAX,18.0,31.0,32.0,24.0,26.0,31.0
175,2015,KC,27.0,25.0,24.0,7.0,7.0,15.0
176,2015,LA,32.0,28.0,28.0,23.0,17.0,14.0
177,2015,LAC,9.0,18.0,15.0,20.0,9.0,13.0
178,2015,LV,24.0,32.0,26.0,22.0,21.0,20.0
179,2015,MIA,26.0,14.0,25.0,25.0,12.0,17.0
180,2015,MIN,29.0,27.0,22.0,13.0,14.0,26.0
181,2015,NE,6.0,11.0,3.0,9.0,13.0,24.0
182,2015,NO,2.0,2.0,2.0,31.0,31.0,30.0
183,2015,NYG,8.0,10.0,16.0,32.0,29.0,25.0
184,2015,NYJ,10.0,22.0,29.0,4.0,6.0,7.0
185,2015,PHI,12.0,5.0,4.0,30.0,28.0,28.0
186,2015,PIT,3.0,1.0,11.0,21.0,18.0,4.0
187,2015,SEA,4.0,9.0,12.0,2.0,1.0,1.0
188,2015,SF,31.0,21.0,20.0,29.0,5.0,2.0
189,2015,TB,5.0,30.0,30.0,10.0,25.0,27.0
190,2015,TEN,30.0,29.0,27.0,12.0,27.0,21.0
191,2015,WAS,17.0,13.0,7.0,28.0,20.0,23.0
192,2016,ARI,9.0,1.0,12.0,2.0,5.0,9.0
193,2016,ATL,2.0,7.0,8.0,25.0,16.0,30.0
194,2016,BAL,17.0,14.0,19.0,7.0,8.0,10.0
195,2016,BUF,16.0,13.0,21.0,19.0,19.0,7.0
196,2016,CAR,19.0,11.0,20.0,21.0,6.0,3.0
197,2016,CHI,15.0,21.0,16.0,15.0,14.0,27.0
198,2016,CIN,13.0,15.0,13.0,17.0,11.0,8.0
199,2016,CLE,30.0,25.0,23.0,31.0,27.0,20.0
200,2016,DAL,5.0,22.0,15.0,14.0,17.0,28.0
201,2016,DEN,27.0,16.0,1.0,4.0,1.0,2.0
202,2016,DET,21.0,20.0,11.0,18.0,18.0,6.0
203,2016,GB,8.0,23.0,6.0,22.0,15.0,18.0
204,2016,HOU,29.0,19.0,18.0,1.0,3.0,4.0
205,2016,IND,10.0,28.0,14.0,29.0,26.0,21.0
206,2016,JAX,23.0,18.0,31.0,6.0,24.0,29.0
207,2016,KC,20.0,27.0,25.0,24.0,7.0,12.0
208,2016,LA,32.0,32.0,32.0,9.0,23.0,17.0
209,2016,LAC,14.0,9.0,7.0,16.0,20.0,19.0
210,2016,LV,6.0,24.0,29.0,26.0,22.0,23.0
211,2016,MIA,24.0,26.0,24.0,30.0,25.0,22.0
212,2016,MIN,28.0,29.0,26.0,3.0,13.0,24.0
213,2016,NE,4.0,6.0,5.0,8.0,9.0,15.0
214,2016,NO,1.0,2.0,2.0,27.0,31.0,26.0
215,2016,NYG,25.0,8.0,17.0,10.0,32.0,31.0
216,2016,NYJ,26.0,10.0,22.0,11.0,4.0,5.0
217,2016,PHI,22.0,12.0,3.0,12.0,30.0,32.0
218,2016,PIT,7.0,3.0,4.0,13.0,21.0,14.0
219,2016,SEA,12.0,4.0,9.0,5.0,2.0,1.0
220,2016,SF,31.0,31.0,27.0,32.0,29.0,11.0
221,2016,TB,18.0,5.0,30.0,23.0,10.0,16.0
222,2016,TEN,11.0,30.0,28.0,20.0,12.0,13.0
223,2016,WAS,3.0,17.0,10.0,28.0,28.0,25.0
224,2017,ARI,22.0,9.0,9.0,6.0,2.0,5.0
225,2017,ATL,8.0,2.0,3.0,9.0,25.0,28.0
226,2017,BAL,27.0,17.0,13.0,12.0,7.0,6.0
227,2017,BUF,29.0,16.0,18.0,26.0,19.0,11.0
228,2017,CAR,19.0,19.0,17.0,7.0,21.0,10.0
229,2017,CHI,30.0,15.0,19.0,10.0,15.0,20.0
230,2017,CIN,32.0,13.0,16.0,18.0,17.0,15.0
231,2017,CLE,24.0,30.0,29.0,14.0,31.0,31.0
232,2017,DAL,14.0,5.0,8.0,8.0,14.0,13.0
233,2017,DEN,17.0,27.0,12.0,3.0,4.0,2.0
234,2017,DET,13.0,21.0,20.0,27.0,18.0,8.0
235,2017,GB,26.0,8.0,11.0,22.0,22.0,17.0
236,2017,HOU,20.0,29.0,24.0,20.0,1.0,3.0
237,2017,IND,31.0,10.0,10.0,30.0,29.0,25.0
238,2017,JAX,7.0,23.0,27.0,2.0,6.0,19.0
239,2017,KC,5.0,20.0,25.0,28.0,24.0,12.0
240,2017,LA,10.0,32.0,32.0,19.0,9.0,16.0
241,2017,LAC,4.0,14.0,14.0,15.0,16.0,14.0
242,2017,LV,17.0,6.0,26.0,23.0,26.0,23.0
243,2017,MIA,25.0,24.0,22.0,16.0,30.0,24.0
244,2017,MIN,11.0,28.0,30.0,1.0,3.0,7.0
245,2017,NE,1.0,4.0,4.0,29.0,8.0,9.0
246,2017,NO,2.0,1.0,1.0,17.0,27.0,32.0
247,2017,NYG,21.0,25.0,15.0,31.0,10.0,30.0
248,2017,NYJ,28.0,26.0,21.0,25.0,11.0,4.0
249,2017,PHI,6.0,22.0,7.0,4.0,12.0,29.0
250,2017,PIT,3.0,7.0,2.0,5.0,13.0,18.0
251,2017,SEA,15.0,12.0,6.0,11.0,5.0,1.0
252,2017,SF,12.0,31.0,31.0,24.0,32.0,26.0
253,2017,TB,9.0,18.0,23.0,32.0,23.0,22.0
254,2017,TEN,23.0,11.0,28.0,13.0,20.0,21.0
255,2017,WAS,16.0,3.0,5.0,21.0,28.0,27.0
256,2018,ARI,32.0,22.0,6.0,21.0,6.0,4.0
257,2018,ATL,6.0,8.0,3.0,28.0,9.0,16.0
258,2018,BAL,9.0,27.0,19.0,1.0,12.0,7.0
259,2018,BUF,30.0,29.0,17.0,2.0,26.0,23.0
260,2018,CAR,10.0,19.0,14.0,15.0,7.0,8.0
261,2018,CHI,21.0,30.0,25.0,3.0,10.0,10.0
262,2018,CIN,26.0,32.0,23.0,32.0,18.0,14.0
263,2018,CLE,13.0,24.0,31.0,30.0,14.0,27.0
264,2018,DAL,22.0,14.0,13.0,7.0,8.0,9.0
265,2018,DEN,19.0,17.0,22.0,22.0,3.0,1.0
266,2018,DET,24.0,13.0,16.0,10.0,27.0,21.0
267,2018,GB,12.0,26.0,20.0,18.0,22.0,20.0
268,2018,HOU,15.0,20.0,27.0,12.0,20.0,5.0
269,2018,IND,7.0,31.0,29.0,11.0,30.0,30.0
270,2018,JAX,27.0,7.0,11.0,5.0,2.0,6.0
271,2018,KC,1.0,5.0,12.0,31.0,28.0,22.0
272,2018,LA,2.0,10.0,32.0,19.0,19.0,18.0
273,2018,LAC,11.0,4.0,5.0,9.0,15.0,17.0
274,2018,LV,23.0,17.0,15.0,26.0,23.0,25.0
275,2018,MIA,31.0,25.0,28.0,29.0,16.0,26.0
276,2018,MIN,20.0,11.0,24.0,4.0,1.0,3.0
277,2018,NE,5.0,1.0,2.0,20.0,29.0,15.0
278,2018,NO,8.0,2.0,1.0,14.0,17.0,29.0
279,2018,NYG,17.0,21.0,18.0,24.0,31.0,31.0
280,2018,NYJ,29.0,28.0,21.0,25.0,25.0,12.0
281,2018,PHI,14.0,6.0,9.0,23.0,4.0,19.0
282,2018,PIT,4.0,3.0,4.0,6.0,5.0,11.0
283,2018,SEA,18.0,15.0,10.0,16.0,11.0,2.0
284,2018,SF,16.0,12.0,30.0,13.0,24.0,32.0
285,2018,TB,3.0,9.0,7.0,27.0,32.0,24.0
286,2018,TEN,25.0,23.0,26.0,8.0,13.0,13.0
287,2018,WAS,28.0,16.0,8.0,17.0,21.0,28.0
288,2019,ARI,20.0,32.0,32.0,32.0,21.0,6.0
289,2019,ATL,5.0,6.0,3.0,20.0,28.0,21.0
290,2019,BAL,2.0,9.0,16.0,4.0,1.0,3.0
291,2019,BUF,24.0,30.0,28.0,3.0,2.0,11.0
292,2019,CAR,21.0,10.0,12.0,23.0,15.0,15.0
293,2019,CHI,29.0,21.0,26.0,8.0,3.0,4.0
294,2019,CIN,26.0,26.0,29.0,29.0,32.0,26.0
295,2019,CLE,22.0,13.0,25.0,22.0,30.0,30.0
296,2019,DAL,1.0,22.0,9.0,9.0,7.0,9.0
297,2019,DEN,28.0,19.0,24.0,12.0,22.0,5.0
298,2019,DET,17.0,24.0,20.0,31.0,10.0,17.0
299,2019,GB,18.0,12.0,11.0,18.0,18.0,20.0
300,2019,HOU,13.0,15.0,23.0,28.0,12.0,8.0
301,2019,IND,25.0,7.0,14.0,16.0,11.0,25.0
302,2019,JAX,19.0,27.0,21.0,24.0,5.0,2.0
303,2019,KC,6.0,1.0,5.0,17.0,31.0,32.0
304,2019,LA,7.0,2.0,10.0,13.0,19.0,16.0
305,2019,LAC,10.0,11.0,7.0,6.0,9.0,12.0
306,2019,LV,11.0,23.0,15.0,19.0,26.0,28.0
307,2019,MIA,27.0,31.0,31.0,30.0,29.0,29.0
308,2019,MIN,16.0,20.0,19.0,14.0,4.0,1.0
309,2019,NE,15.0,5.0,2.0,1.0,20.0,18.0
310,2019,NO,9.0,8.0,1.0,11.0,14.0,19.0
311,2019,NYG,23.0,17.0,22.0,25.0,24.0,24.0
312,2019,NYJ,32.0,29.0,30.0,7.0,25.0,22.0
313,2019,PHI,14.0,14.0,8.0,10.0,23.0,13.0
314,2019,PIT,30.0,4.0,4.0,5.0,6.0,7.0
315,2019,SEA,8.0,18.0,12.0,26.0,16.0,10.0
316,2019,SF,4.0,16.0,18.0,2.0,13.0,27.0
317,2019,TB,3.0,3.0,6.0,15.0,27.0,31.0
318,2019,TEN,12.0,25.0,27.0,21.0,8.0,14.0
319,2019,WAS,31.0,28.0,17.0,27.0,17.0,23.0
